discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
minecraft pro lessons,Stillcraft Animations,testEmail,country not detected,https://www.youtube.com/channel/UCa8xjJQ3lRRoUKOFJrmUZXQ/about,"22,529,034.16",0.003357965623,no notes,3,897810,2018-05-10 17:09:39,19,UCa8xjJQ3lRRoUKOFJrmUZXQ
CS GO pro builds,Dude Perfect,testEmail,US,https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ/about,"18,766,498.60",0.0298710597,no notes,3,29968246,2018-05-10 16:10:27,5,UCRijo3ddMTht_IHyNSNXpNQ
god of war intermediate news,dbuzz,testEmail,country not detected,https://www.youtube.com/channel/UCfKHwgY6Kf19RwnItfac90A/about,"10,136,540.50",0.005806566846,no notes,3,0,2018-05-11 7:40:27,2,UCfKHwgY6Kf19RwnItfac90A
GTA 5 pro videos,RedKeyMon,testEmail,country not detected,https://www.youtube.com/channel/UCm1F9GekuQVNf93XU7-i9kw/about,"9,739,049.17",0.01094236576,no notes,3,1742542,2018-05-11 13:52:47,7,UCm1F9GekuQVNf93XU7-i9kw
god of war expert common mistakes,TVFilthyFrank,testEmail,country not detected,https://www.youtube.com/channel/UCkitABalXafr-NqceQdDXtg/about,"6,878,683.08",0.0446923035,no notes,3,5792363,2018-05-11 8:03:45,25,UCkitABalXafr-NqceQdDXtg
minecraft pro players,Fenlort,testEmail,country not detected,https://www.youtube.com/channel/UCcn0U1OwKND0dQjmVH7RkrQ/about,"6,842,199.33",0.01296386279,no notes,3,93854,2018-05-10 17:12:03,3,UCcn0U1OwKND0dQjmVH7RkrQ
GTA 5 beginner common mistakes,SuperMarioLogan,testEmail,US,https://www.youtube.com/channel/UC8gKWMFvVenlVjgysNojYQg/about,"6,538,110.83",0.02217004232,no notes,3,5634984,2018-05-11 13:40:09,25,UC8gKWMFvVenlVjgysNojYQg
dead cells beginner common mistakes,TheOfficialLoganPaul,testEmail,US,https://www.youtube.com/channel/UCbwMZHCMpBiOWfYLBOH-9Qw/about,"5,330,808.09",0.02535955277,no notes,3,4772875,2018-05-11 9:45:32,12,UCbwMZHCMpBiOWfYLBOH-9Qw
dead cells intermediate common mistakes,Pencilmation,testEmail,US,https://www.youtube.com/channel/UCUAL--p3qAa27luR0IYbjZA/about,"4,971,200.45",0.00529028977,no notes,3,2909839,2018-05-11 9:50:08,11,UCUAL--p3qAa27luR0IYbjZA
minecraft beginner lessons,Things Craft,testEmail,country not detected,https://www.youtube.com/channel/UC7MG59fPRHG_uYrUdAYjnLg/about,"4,435,658.39",0.005707571396,no notes,3,485831,2018-05-10 16:55:46,25,UC7MG59fPRHG_uYrUdAYjnLg
GTA 5 beginner common mistakes,Prestige Clips,testEmail,AU,https://www.youtube.com/channel/UCC-uu-OqgYEx52KYQ-nJLRw/about,"4,261,222.33",0.01797976694,no notes,3,3893628,2018-05-11 13:39:59,25,UCC-uu-OqgYEx52KYQ-nJLRw
god of war beginner methods,Kurzgesagt – In a Nutshell,testEmail,country not detected,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q/about,"3,989,882.74",0.0476652967,no notes,3,6104195,2018-05-11 7:32:28,19,UCsXVk37bltHxD1rDPwtNM8Q
league of legends beta,League of Legends,testEmail,country not detected,https://www.youtube.com/channel/UC2t5bjwHdUX4vM2g8TRDq5g/about,"3,514,727.42",0.003316173799,no notes,3,8863269,2018-05-09 16:35:53,12,UC2t5bjwHdUX4vM2g8TRDq5g
league of legends strat,videogamedunkey,testEmail,country not detected,https://www.youtube.com/channel/UCsvn_Po0SmunchJYOWpOxMg/about,"3,472,570.46",0.04151149064,no notes,3,4668782,2018-05-09 16:33:16,25,UCsvn_Po0SmunchJYOWpOxMg
GTA 5 pro lessons,VanossGaming,testEmail,country not detected,https://www.youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g/about,"3,119,525.40",0.02900375113,no notes,3,22871244,2018-05-11 13:52:22,25,UCKqH_9mk1waLgBiL2vT5b9g
world of tanks beginner news,h3h3Productions,testEmail,US,https://www.youtube.com/channel/UCDWIvJwLJsE4LG1Atne2blQ/about,"2,736,465.00",0.08510562767,no notes,3,5654943,2018-05-11 11:42:19,7,UCDWIvJwLJsE4LG1Atne2blQ
GTA 5 tutorial,Corridor,testEmail,country not detected,https://www.youtube.com/channel/UCsn6cjffsvyOZCZxvGoJxGg/about,"2,710,112.60",0.03132711165,no notes,3,4675035,2018-05-11 13:41:02,5,UCsn6cjffsvyOZCZxvGoJxGg
dead cells pro common mistakes,AnthonyPit1,testEmail,US,https://www.youtube.com/channel/UCceTn1PVvHhxxbS0gvboBQQ/about,"2,698,598.21",0.02538768701,no notes,3,857132,2018-05-11 9:58:34,25,UCceTn1PVvHhxxbS0gvboBQQ
minecraft expert players,GoldenArmor,testEmail,US,https://www.youtube.com/channel/UCIBIltj7JbKQwxIvZT_1Zvg/about,"2,684,078.80",0.01387287884,no notes,3,1985292,2018-05-10 17:07:34,11,UCIBIltj7JbKQwxIvZT_1Zvg
