discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
fornite news,Fortnite,testEmail,country not detected,https://www.youtube.com/channel/UClG8odDC8TS6Zpqk9CGVQiQ/about,"2,166,352.22",2.15%,no notes,1,1692078,2018-05-07 13:31:44,25,UClG8odDC8TS6Zpqk9CGVQiQ
overwatch new hero,To Binge,testEmail,CA,https://www.youtube.com/channel/UCMpwI0ctj_p3bhwJR-_CmDA/about,"1,178,267.46",3.30%,no notes,1,308762,2018-05-07 15:17:54,25,UCMpwI0ctj_p3bhwJR-_CmDA
overwatch,PlayOverwatch,testEmail,country not detected,https://www.youtube.com/channel/UClOf1XXinvZsy4wKPAkro2A/about,"892,623.83",3.93%,no notes,1,2279798,2018-05-07 14:46:41,25,UClOf1XXinvZsy4wKPAkro2A
overwatch gaming,REACT,testEmail,country not detected,https://www.youtube.com/channel/UCHEf6T_gVq4tlW5i91ESiWg/about,"750,395.29",2.97%,no notes,1,9238667,2018-05-07 13:30:26,25,UCHEf6T_gVq4tlW5i91ESiWg
fortnite strategy squad,Daequan Loco,testEmail,country not detected,https://www.youtube.com/channel/UCbJ9W-EexsJSMc4wMPOA9pA/about,"697,889.50",3.72%,no notes,1,1200357,2018-05-07 15:29:07,25,UCbJ9W-EexsJSMc4wMPOA9pA
fortnite strategy,Jesser,testEmail,US,https://www.youtube.com/channel/UCQIUhhcmXsu6cN6n3y9-Pww/about,"658,134.22",3.94%,no notes,1,1556679,2018-05-07 15:27:17,18,UCQIUhhcmXsu6cN6n3y9-Pww
pubg,Shroud,testEmail,CA,https://www.youtube.com/channel/UCoz3Kpu5lv-ALhR4h9bDvcw/about,"573,337.04",2.74%,no notes,1,1619930,2018-05-07 13:31:24,25,UCoz3Kpu5lv-ALhR4h9bDvcw
fortnite strategy,thatdenverguy,testEmail,country not detected,https://www.youtube.com/channel/UCN_kkuZ1b1emUHq2Fz3DWuQ/about,"527,428.17",3.26%,no notes,1,312182,2018-05-07 15:27:38,13,UCN_kkuZ1b1emUHq2Fz3DWuQ
pubg,PUBG TV,testEmail,US,https://www.youtube.com/channel/UCXQ_4o9suWlKtAUUfqn9I5Q/about,"493,007.71",1.45%,no notes,1,641819,2018-05-07 13:31:20,25,UCXQ_4o9suWlKtAUUfqn9I5Q
fortnite strategies and tips,dakotaz,testEmail,US,https://www.youtube.com/channel/UC6ktW65B9xSqrGZVLDn2uEA/about,"488,319.57",3.97%,no notes,1,1582204,2018-05-07 15:27:51,25,UC6ktW65B9xSqrGZVLDn2uEA
