discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
mechanical keyboard review,Linus Tech Tips,testEmail,n/a,https://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw/about,691304.0,0.035287418173963025,HAHAHAHURHURHUR,0,5724356,2018-04-30 10:08:19.525312,13.0,UCXuqSBlHAE6Xw-yeJA0Tunw
mechanical keyboard review,ScatterVolt,testEmail,US,https://www.youtube.com/channel/UCl6ulw6cn3npwxkg_56Ee_w/about,82375.0,0.03533587778846061,- tech reviews,1,186127,2018-04-30 10:08:21.035358,11.0,UCl6ulw6cn3npwxkg_56Ee_w
mechanical keyboard review,randomfrankp,testEmail,n/a,https://www.youtube.com/channel/UChnN9MPURwKV2PbEoT2vhTQ/about,90333.0,0.03779460287340566,,0,685334,2018-04-30 10:08:22.998049,18.0,UChnN9MPURwKV2PbEoT2vhTQ
mechanical keyboard review,TechMeister,testEmail,US,https://www.youtube.com/channel/UCTZSF6t4rf3DaLZcyFyRYSg/about,2917.0,0.05061981867657366,,0,761,2018-04-30 10:08:25.591800,25.0,UCTZSF6t4rf3DaLZcyFyRYSg
mechanical keyboard review,HardwareCanucks,testEmail,CA,https://www.youtube.com/channel/UCTzLRZUgelatKZ4nyIKcAbg/about,112365.0,0.04182555098763946,,0,896027,2018-04-30 10:08:27.676083,20.0,UCTzLRZUgelatKZ4nyIKcAbg
keyboard review,Chyrosran22,testEmail,NL,https://www.youtube.com/channel/UCD0y51PJfvkZNe3y3FR5riw/about,9007.0,0.06326687486726006,,0,20738,2018-04-30 10:08:30.919503,25.0,UCD0y51PJfvkZNe3y3FR5riw
best mech keys,Paul's Hardware,testEmail,US,https://www.youtube.com/channel/UCvWWf-LYjaujE50iYai8WgQ/about,69524.0,0.05037937784499138,,0,759268,2018-04-30 10:08:34.310030,22.0,UCvWWf-LYjaujE50iYai8WgQ
best mech keys,GrimmGreen,testEmail,US,https://www.youtube.com/channel/UCcTfQohClxDpYDBCnuS1azQ/about,20932.0,0.05172986450456353,,0,364044,2018-04-30 10:08:36.465571,16.0,UCcTfQohClxDpYDBCnuS1azQ
best mechanical keyboards,Explore Gadgets,testEmail,US,https://www.youtube.com/channel/UCK-H1e0S8jg-8qoqQ5N8jvw/about,9148.0,0.028108737887400495,,0,507165,2018-04-30 10:08:39.010985,15.0,UCK-H1e0S8jg-8qoqQ5N8jvw
best mechanical keyboards,PC Centric,testEmail,GB,https://www.youtube.com/channel/UC54-Zt4_z6W81N5X3OnHCEw/about,10432.0,0.06515466684560156,,0,92907,2018-04-30 10:08:40.402120,11.0,UC54-Zt4_z6W81N5X3OnHCEw
